Date,Safari,Chrome,Samsung Internet,Firefox,Opera,Edge,Others
2022-11,51.06,42.87,3.5,0.89,0.51,0.27,0.89
2022-12,51.04,42.73,3.52,0.9,0.54,0.26,1.03
2023-01,52.93,40.91,3.5,0.93,0.56,0.29,0.87
2023-02,52.44,41.72,3.41,0.94,0.56,0.3,0.63
2023-03,52.24,41.91,3.35,0.91,0.52,0.29,0.79
2023-04,55.02,38.66,3.61,0.96,0.54,0.3,0.9
2023-05,56.88,36.92,3.54,1.02,0.57,0.32,0.74
2023-06,52.57,41.45,3.28,0.96,0.59,0.31,0.85
2023-07,52.04,41.99,3.31,0.96,0.63,0.33,0.75
2023-08,52.12,41.95,3.33,0.84,0.62,0.33,0.82
2023-09,51.54,42.01,3.28,0.95,0.64,0.33,1.25
2023-10,51.4,42.34,3.39,0.98,0.68,0.36,0.86
2023-11,52.73,40.18,4.04,1.03,0.72,0.37,0.93
